cust_id,총구매액,구매건수,평균구매액,최대구매액,구매상품종류1,구매상품종류2,구매상품종류3,봄구매비율,여름구매비율,가을구매비율,겨울구매비율,환불금액,환불건수,주구매상품,주구매지점
0,68282840,74,922741.0,11264000,35,28,17,0.0945945945945946,0.3918918918918919,0.3783783783783784,0.13513513513513514,6860000.0,3.0,기타,강남점
1,2136000,3,712000.0,2136000,2,2,2,0.0,0.0,1.0,0.0,300000.0,1.0,스포츠,잠실점
2,3197000,4,799250.0,1639000,1,2,2,0.0,0.0,0.0,1.0,,,남성 캐주얼,관악점
3,16077620,44,365400.0,4935000,24,20,13,0.5909090909090909,0.1590909090909091,0.11363636363636363,0.13636363636363635,,,기타,광주점
4,29050000,3,9683333.0,24000000,2,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,,,화장품,본  점
5,11379000,5,2275800.0,9552000,4,4,3,0.4,0.0,0.0,0.6,462000.0,1.0,디자이너,일산점
6,10056000,12,838000.0,7612000,6,8,6,0.0,0.16666666666666666,0.0,0.8333333333333334,4582000.0,3.0,시티웨어,강남점
7,514570080,166,3099820.0,27104000,76,57,27,0.25903614457831325,0.3313253012048193,0.23493975903614459,0.1746987951807229,29524000.0,4.0,명품,본  점
8,688243360,107,6432181.0,173088000,53,45,23,0.205607476635514,0.4205607476635514,0.07476635514018691,0.29906542056074764,,,기타,본  점
9,26640850,12,2220071.0,13728000,9,9,6,0.0,0.0,0.0,1.0,,,농산물,대전점
10,245110760,53,4624731.0,67275000,34,24,19,0.3018867924528302,0.18867924528301888,0.22641509433962265,0.2830188679245283,22484000.0,2.0,디자이너,부산본점
11,24467500,6,4077917.0,10575000,4,4,4,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,기타,본  점
12,2895000,2,1447500.0,2475000,2,2,2,1.0,0.0,0.0,0.0,,,주류,분당점
13,103217000,58,1779603.0,14616000,21,18,12,0.20689655172413793,0.41379310344827586,0.2413793103448276,0.13793103448275862,13173720.0,6.0,시티웨어,분당점
14,123565660,312,396044.0,22500000,59,40,22,0.3685897435897436,0.18269230769230768,0.23076923076923078,0.21794871794871795,7833000.0,6.0,농산물,본  점
15,802390550,545,1472276.0,123488000,159,89,31,0.1963302752293578,0.24587155963302754,0.3321100917431193,0.22568807339449543,87054200.0,21.0,기타,본  점
16,359589000,58,6199810.0,73684240,34,31,19,0.25862068965517243,0.27586206896551724,0.1206896551724138,0.3448275862068966,,,골프,본  점
17,114421760,52,2200418.0,28560000,21,20,15,0.40384615384615385,0.07692307692307693,0.15384615384615385,0.36538461538461536,59424000.0,9.0,기타,본  점
18,43857600,7,6265371.0,24000000,6,7,7,0.0,0.0,1.0,0.0,,,구두,본  점
19,3074660,19,161824.0,500000,12,13,9,1.0,0.0,0.0,0.0,,,농산물,일산점
20,52855460,36,1468207.0,9711000,25,18,15,0.3611111111111111,0.3333333333333333,0.16666666666666666,0.1388888888888889,,,기타,잠실점
21,208520880,1521,137095.0,20280000,114,58,24,0.3063773833004602,0.28336620644312954,0.20052596975673898,0.20973044049967127,1524900.0,1.0,농산물,부산본점
22,128221640,227,564853.0,17232000,43,40,17,0.27312775330396477,0.22026431718061673,0.2511013215859031,0.2555066079295154,18596800.0,3.0,농산물,잠실점
23,450640,6,75107.0,165000,5,6,5,0.0,0.0,1.0,0.0,,,농산물,분당점
24,52498250,40,1312456.0,12201000,13,16,8,0.9,0.0,0.0,0.1,3146000.0,1.0,가공식품,영등포점
25,550000,1,550000.0,550000,1,1,1,1.0,0.0,0.0,0.0,,,스포츠,본  점
26,301903130,148,2039886.0,53050000,72,46,27,0.24324324324324326,0.16891891891891891,0.2972972972972973,0.2905405405405405,21241000.0,5.0,기타,본  점
27,217054230,841,258091.0,35650000,141,74,24,0.2615933412604043,0.19976218787158145,0.28418549346016647,0.2544589774078478,4440000.0,9.0,기타,분당점
28,139213500,57,2442342.0,19032000,32,29,21,0.2631578947368421,0.14035087719298245,0.24561403508771928,0.3508771929824561,,,기타,영등포점
